IP Base: 255.255.255.0
Cantidad de rangos: 20
Rango A: 2048 solicitudes
Rango B: 1023 solicitudes
Rango C: 511 solicitudes
Rango D: 255 solicitudes
Rango E: 100 solicitudes
Rango F: 25 solicitudes
Rango G: 1 solicitudes
Rango H: 1000 solicitudes
Rango I: 200 solicitudes
Rango J: 300 solicitudes
Rango K: 20 solicitudes
Rango L: 40 solicitudes
Rango M: 12 solicitudes
Rango N: 10 solicitudes
Rango Ñ: 30 solicitudes
Rango O: 200 solicitudes
Rango P: 2000 solicitudes
Rango Q: 20 solicitudes
Rango R: 25 solicitudes
Rango S: 15 solicitudes
